,indice,year,month,BRUSSEL SPR,CRKLE CARR CONV,BABY ORG CARR,YLLW ORG CARR,YLLW BIAS CARR,GRN BEANS,SLAB GR BEANS,SUGAR SNAP P,BROC FLTS,ORG JUL. CARR,STRPS GR PEPPER,CELERY,ONION,MUSHROOM,WATER CH NUTS,CORN WHOLE,CORN KERNELS,GARBANZO,GREEN PEPPER,KIDNEY BEANS,NAVY BEANS,RED PEPPER,GREEN PEAS,ITALIAN GR BEANS,DCED POTATOES,LIMA BEANS,CUT GR BEANS,BROC CUTS,SNOW PEAS,PARIS CARR,prod31,prod32,prod33,prod34,
0,2018importpurchasesjan,2018,January,156.842,189,0,0,47.64,0,0,0,72.45,0,0,0,0,0,48,0,78.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2018importpurchasesfeb,2018,February,93.8,37.8,0,0,0,0,0,0,308.042,0,0,0,0,0,0,51.546,0,0,0,0,0,0,40.6,80.16,80.16,0,0,0,0,0,0,0,0,0,
2,2018importpurchasesmar,2018,March,52.04,0,40.6,1.45,47.64,0,0,0,306.633,0,0,0,0,0,48,0,79.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,2018importpurchasesapr,2018,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,2018importpurchasesmay,2018,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,2018importpurchasesjun,2018,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,2018importpurchasesjul,2018,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,2018importpurchasesaug,2018,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,2018importpurchasessep,2018,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,2018importpurchasesoct,2018,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,2018importpurchasesnov,2018,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,2018importpurchasesdec,2018,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
