,indice,year,month,CELERY,ONION STRIPS,CHINESE PEAS,PEAS,SUGAR SNAP P,CORN WHOLE,CORN GRAINS,FRENCH CUT G BEANS,SLAB CUT G BEANS,WHOLE G BEANS,ITALIAN G BEANS,LIMA BEANS,CUT GREEN BEANS,MUSHROOMS,RED PEPPER DCD,RED PEPPER ST,POBLANO ST,POTATOE DCD,WATER C NUTS,KIDNEY BEANS,NAVY BEANS,GARBANZO,CUT SPINACH,GREEN PEPPER ST,prod25,prod26,prod27,prod28,prod29,prod30,prod31,prod32,prod33,prod34
0,2018inventoriesingredientsjan,2018,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018inventoriesingredientsfeb,2018,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018inventoriesingredientsmar,2018,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018inventoriesingredientsapr,2018,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018inventoriesingredientsmay,2018,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018inventoriesingredientsjun,2018,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018inventoriesingredientsjul,2018,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018inventoriesingredientsaug,2018,August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018inventoriesingredientssep,2018,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018inventoriesingredientsoct,2018,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018inventoriesingredientsnov,2018,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018inventoriesingredientsdec,2018,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
